Controller,.NET_Path,Java_Path,Status
Performance,/Performance/GetAllKPI,/Performance/GetAllKPI,IMPLEMENTED
Performance,/Performance/GetKPI,/Performance/GetKPI,IMPLEMENTED
Performance,/Performance/AddKPI,/Performance/AddKPI,IMPLEMENTED
Performance,/Performance/UpdateKPI,/Performance/UpdateKPI,IMPLEMENTED
Performance,/Performance/DeleteKPI,/Performance/DeleteKPI,IMPLEMENTED
Performance,/Performance/GetAllAppraisal,/Performance/GetAllAppraisal,IMPLEMENTED
Performance,/Performance/GetAppraisal,/Performance/GetAppraisal,IMPLEMENTED
Performance,/Performance/AddAppraisal,/Performance/AddAppraisal,IMPLEMENTED
Performance,/Performance/UpdateAppraisal,/Performance/UpdateAppraisal,IMPLEMENTED
Performance,/Performance/DeleteAppraisal,/Performance/DeleteAppraisal,IMPLEMENTED
Performance,/Performance/AppraisalStatus,/Performance/AppraisalStatus,IMPLEMENTED
Performance,/Performance/GetAllBehaviouralGoal,/Performance/GetAllBehaviouralGoal,IMPLEMENTED
Shift,/Shift/GetAllShift,/Shift/GetAllShift,IMPLEMENTED
Shift,/Shift/GetShift,/Shift/GetShift,IMPLEMENTED
Shift,/Shift/AddShift,/Shift/AddShift,IMPLEMENTED
Shift,/Shift/UpdateShift,/Shift/UpdateShift,IMPLEMENTED
Shift,/Shift/DeleteShift,/Shift/DeleteShift,IMPLEMENTED
Shift,/Shift/GetAllShiftGrouping,/Shift/GetAllShiftGrouping,IMPLEMENTED
Shift,/Shift/AddShiftGrouping,/Shift/AddShiftGrouping,IMPLEMENTED
Shift,/Shift/DDShift,/Shift/DDShift,IMPLEMENTED
Shift,/Shift/GetAllShiftEmployee,/Shift/GetAllShiftEmployee,IMPLEMENTED
